QId,RespondUserId,PostUserId,Time,days
1,8,5.0,2011-10-11 19:35:17.553,0
3,5,31.0,2011-10-11 19:45:01.370,0
4,14,23.0,2011-10-11 19:45:35.817,0
6,15,11.0,2011-10-11 21:32:15.290,0
7,8,165.0,2011-12-03 15:58:57.520,52
13,1,41.0,2011-10-11 19:57:59.390,0
14,8,10.0,2011-10-12 05:37:47.927,0
17,1,41.0,2011-10-11 20:18:49.730,0
18,47,45.0,2011-10-11 20:18:33.090,0
22,8,100.0,2011-10-12 06:35:35.600,0
36,30,10.0,2011-10-12 02:21:25.440,0
38,68,124.0,2011-10-13 19:36:00.253,2
43,65,68.0,2011-10-12 05:14:56.723,0
49,45,68.0,2011-10-12 04:00:07.753,0
50,65,48.0,2011-10-12 11:46:23.023,0
57,10,68.0,2011-10-12 04:55:32.753,0
65,110,115.0,2011-10-12 12:33:32.783,0
87,501,50.0,2011-10-12 15:45:49.373,0
94,501,11.0,2011-10-12 19:19:33.163,0
97,114,48.0,2011-10-12 19:10:45.823,0
103,89,104.0,2011-10-12 20:58:17.107,1
108,114,632.0,2012-01-31 22:38:48.163,112
129,126,10.0,2011-10-18 21:41:39.717,7
134,103,50.0,2011-10-15 04:09:15.933,3
138,103,104.0,2011-10-15 13:45:45.630,3
163,65,48.0,2011-10-15 11:31:28.837,3
178,115,89.0,2011-10-18 22:49:11.277,7
203,15,26.0,2011-10-17 23:47:02.843,6
252,103,104.0,2011-10-17 17:38:10.070,5
288,50,68.0,2011-10-21 05:52:35.160,9
290,47,114.0,2011-10-20 17:13:50.843,8
306,114,103.0,2011-10-25 22:23:58.433,14
307,14,104.0,2011-10-24 08:46:09.997,12
315,171,26.0,2011-10-25 13:51:13.220,13
317,44,119.0,2011-10-31 18:52:52.987,19
327,181,171.0,2011-10-25 23:25:10.390,14
337,206,178.0,2011-10-27 00:02:00.130,15
340,209,178.0,2011-10-27 13:17:25.610,15
364,121,44.0,2011-10-29 13:12:06.527,17
365,30,44.0,2011-10-30 13:15:57.997,18
367,21,50.0,2011-10-29 14:58:11.650,17
374,224,133.0,2011-10-31 16:40:22.217,19
383,65,104.0,2011-10-31 07:22:04.240,19
408,187,133.0,2011-11-02 13:24:11.107,21
411,114,48.0,2011-11-02 15:50:38.287,21
425,183,26.0,2011-11-03 19:03:18.010,22
426,254,104.0,2011-11-03 19:27:16.587,22
435,262,262.0,2011-11-07 14:08:36.723,26
444,60,104.0,2011-11-05 08:47:43.477,24
455,204,501.0,2011-11-08 23:47:44.830,28
476,115,257.0,2011-11-06 21:42:34.553,26
494,71,249.0,2011-11-10 03:15:17.503,29
502,365,48.0,2011-11-09 20:10:52.247,29
520,381,68.0,2011-11-12 03:03:00.867,31
524,242,104.0,2011-11-13 11:02:01.630,32
543,44,68.0,2011-11-15 19:08:20.943,34
545,71,178.0,2011-11-17 22:21:09.013,37
547,68,397.0,2011-11-17 14:36:39.540,36
556,111,104.0,2011-11-17 10:33:27.143,36
565,114,400.0,2011-11-17 23:23:44.337,37
567,403,104.0,2011-11-18 13:15:23.683,37
570,403,104.0,2011-11-18 14:35:40.960,37
578,406,82.0,2011-11-19 10:28:34.837,38
609,421,104.0,2011-11-23 12:30:15.043,42
612,422,165.0,2011-12-03 04:15:52.737,52
623,501,130.0,2011-11-25 00:14:34.760,44
629,30,81.0,2011-11-27 15:47:15.170,46
650,432,133.0,2011-11-30 15:13:16.310,49
651,432,68.0,2011-11-30 06:34:41.690,49
652,432,501.0,2011-12-01 14:23:56.963,50
678,441,104.0,2011-12-03 20:42:47.637,53
689,329,104.0,2011-12-05 13:19:23.483,54
700,181,397.0,2011-12-07 11:15:26.380,56
708,470,405.0,2011-12-08 20:27:49.900,58
711,114,104.0,2011-12-09 08:09:29.013,58
718,485,26.0,2011-12-12 23:23:51.047,62
725,488,114.0,2011-12-15 13:33:02.260,64
730,465,104.0,2011-12-15 09:02:12.743,64
739,465,104.0,2011-12-16 12:53:12.037,65
741,30,776.0,2012-03-17 09:37:10.323,157
754,485,48.0,2011-12-17 18:10:04.090,66
764,432,178.0,2011-12-20 21:48:05.090,70
778,21,89.0,2012-01-03 21:18:18.550,84
781,524,26.0,2011-12-29 06:52:07.683,78
782,342,97.0,2011-12-26 19:06:24.540,75
792,449,178.0,2012-01-04 15:51:15.970,84
813,28,564.0,2012-01-16 06:09:49.247,96
826,329,31.0,2012-01-10 09:26:13.740,90
831,573,489.0,2012-01-11 20:41:49.093,92
846,346,567.0,2012-02-04 01:19:19.757,115
851,588,721.0,2012-02-23 21:46:03.363,135
852,47,133.0,2012-01-20 14:59:19.247,100
855,47,104.0,2012-01-18 18:19:17.300,98
863,414,178.0,2012-01-19 15:31:50.890,99
864,47,31.0,2012-01-19 11:43:56.973,99
879,618,104.0,2012-01-24 07:52:09.380,104
897,342,26.0,2012-01-31 15:13:16.140,111
912,650,11.0,2012-02-04 01:09:43.840,115
925,446,632.0,2012-02-06 08:13:24.410,117
932,666,26.0,2012-02-08 18:46:24.153,119
941,403,400.0,2012-02-09 12:34:39.140,120
957,683,400.0,2012-02-13 19:09:57.923,124
963,632,50.0,2012-02-22 17:00:40.597,133
981,644,104.0,2012-02-20 08:24:13.213,131
998,491,722.0,2012-02-27 02:01:55.957,138
1005,724,81.0,2012-02-24 10:43:58.143,135
1038,741,669.0,2012-03-01 00:37:04.783,141
1040,742,104.0,2012-03-01 09:00:59.550,141
1051,752,104.0,2012-03-06 08:09:14.430,146
1061,1,104.0,2012-03-31 09:11:51.523,171
1067,765,165.0,2012-03-09 18:27:34.650,149
1075,258,708.0,2012-03-10 09:40:44.310,150
1090,377,769.0,2012-03-10 12:30:13.997,150
1104,777,104.0,2012-03-13 09:49:38.327,153
1109,784,219.0,2012-03-21 11:56:13.590,161
1124,791,133.0,2012-03-20 20:34:46.157,161
1137,802,219.0,2012-03-22 09:26:05.500,162
1144,814,104.0,2012-03-27 12:56:43.440,167
1174,432,826.0,2012-04-04 19:41:24.723,176
1177,830,407.0,2012-04-03 15:10:58.383,174
1181,838,844.0,2012-04-04 19:01:45.067,175
1323,114,,2011-11-30 01:35:58.450,49
