FirstDay,Number_of_active_questions
0,60
1,51
2,38
3,38
4,33
5,29
6,30
7,28
8,29
9,33
10,32
11,33
12,35
13,38
14,42
15,38
16,36
17,38
18,38
19,37
20,32
21,27
22,25
23,19
24,18
25,18
26,20
27,20
28,20
29,25
30,24
31,28
32,30
33,30
34,28
35,26
36,23
37,23
38,19
39,17
40,17
41,17
42,17
43,22
44,20
45,21
46,27
47,28
48,29
49,28
50,28
51,27
52,22
53,19
54,16
55,15
56,16
57,12
58,18
59,19
60,20
61,22
62,21
63,15
64,16
65,13
66,11
67,9
68,10
69,10
70,10
71,9
72,11
73,10
74,11
75,9
76,9
77,9
78,10
79,9
80,9
81,12
82,13
83,14
84,15
85,10
86,11
87,11
88,10
89,8
90,11
91,10
92,15
93,15
94,18
95,18
96,17
97,15
98,18
99,15
100,12
101,9
102,7
103,7
104,12
105,8
106,11
107,11
108,14
109,15
110,15
111,15
112,14
113,15
114,16
115,17
116,16
117,14
118,16
119,20
120,16
121,16
122,16
123,17
124,17
125,14
126,11
127,13
128,13
129,13
130,13
131,14
132,16
133,14
134,13
135,19
136,21
137,18
138,19
139,17
140,17
141,17
142,14
143,17
144,19
145,20
146,18
147,21
148,21
149,24
150,23
151,22
152,22
153,19
154,18
155,13
156,11
157,11
158,8
159,8
160,6
161,7
162,7
163,7
164,12
165,17
166,17
167,20
168,20
169,20
170,18
171,17
172,13
